trust_level,agency,quadrant_pct,trust_pct,agency_pct,attribute,category,value,note
Trusting,Relational,28,74,39,PID,Dem,22,
Trusting,Relational,28,74,39,PID,Rep,32,
Trusting,Relational,28,74,39,PID,Ind,39,
Trusting,Relational,28,74,39,PID,Other,7,
Trusting,Relational,28,74,39,Ideology,Moderate,43,
Trusting,Relational,28,74,39,Ideology,Conservative,26,
Trusting,Relational,28,74,39,Ideology,Liberal,20,
Trusting,Relational,28,74,39,Ideology,No opinion,10,
Trusting,Relational,28,74,39,Race/Ethnicity,White,52,
Trusting,Relational,28,74,39,Race/Ethnicity,Black,10,
Trusting,Relational,28,74,39,Race/Ethnicity,Latino,29,
Trusting,Relational,28,74,39,Race/Ethnicity,Asian,7,
Trusting,Relational,28,74,39,Ed Attainment,No degree,54,
Trusting,Relational,28,74,39,Ed Attainment,Degree,45,
Trusting,Relational,28,74,39,Age,18-24,39,
Trusting,Relational,28,74,39,Age,25-34,61,
Trusting,Self-driven,46,74,61,PID,Dem,20,
Trusting,Self-driven,46,74,61,PID,Rep,37,
Trusting,Self-driven,46,74,61,PID,Ind,38,
Trusting,Self-driven,46,74,61,PID,Other,5,
Trusting,Self-driven,46,74,61,Ideology,Conservative,36,
Trusting,Self-driven,46,74,61,Ideology,Moderate,39,
Trusting,Self-driven,46,74,61,Ideology,Liberal,18,
Trusting,Self-driven,46,74,61,Ideology,No opinion,8,
Trusting,Self-driven,46,74,61,Race/Ethnicity,White,53,
Trusting,Self-driven,46,74,61,Race/Ethnicity,Black,16,
Trusting,Self-driven,46,74,61,Race/Ethnicity,Latino,18,Lowest % Latino across groups
Trusting,Self-driven,46,74,61,Race/Ethnicity,Asian,9,
Trusting,Self-driven,46,74,61,Ed Attainment,No degree,53,
Trusting,Self-driven,46,74,61,Ed Attainment,Degree,46,
Trusting,Self-driven,46,74,61,Age,18-24,43,
Trusting,Self-driven,46,74,61,Age,25-34,57,
Distrusting,Relational,11,26,39,PID,Dem,27,
Distrusting,Relational,11,26,39,PID,Rep,37,
Distrusting,Relational,11,26,39,PID,Ind,26,
Distrusting,Relational,11,26,39,PID,Other,11,
Distrusting,Relational,11,26,39,Ideology,Conservative,34,
Distrusting,Relational,11,26,39,Ideology,Moderate,30,
Distrusting,Relational,11,26,39,Ideology,Liberal,26,Most even spread in ideology
Distrusting,Relational,11,26,39,Ideology,No opinion,10,
Distrusting,Relational,11,26,39,Race/Ethnicity,White,52,
Distrusting,Relational,11,26,39,Race/Ethnicity,Black,14,
Distrusting,Relational,11,26,39,Race/Ethnicity,Latino,26,
Distrusting,Relational,11,26,39,Race/Ethnicity,Asian,7,
Distrusting,Relational,11,26,39,Ed Attainment,No degree,58,
Distrusting,Relational,11,26,39,Ed Attainment,Degree,42,
Distrusting,Relational,11,26,39,Age,18-24,42,
Distrusting,Relational,11,26,39,Age,25-34,58,
Distrusting,Self-driven,15,26,61,PID,Dem,27,
Distrusting,Self-driven,15,26,61,PID,Rep,30,
Distrusting,Self-driven,15,26,61,PID,Ind,42,
Distrusting,Self-driven,15,26,61,PID,Other,1,
Distrusting,Self-driven,15,26,61,Ideology,Conservative,34,
Distrusting,Self-driven,15,26,61,Ideology,Moderate,36,
Distrusting,Self-driven,15,26,61,Ideology,Liberal,21,
Distrusting,Self-driven,15,26,61,Ideology,No opinion,9,
Distrusting,Self-driven,15,26,61,Race/Ethnicity,White,44,
Distrusting,Self-driven,15,26,61,Race/Ethnicity,Black,17,
Distrusting,Self-driven,15,26,61,Race/Ethnicity,Latino,25,
Distrusting,Self-driven,15,26,61,Race/Ethnicity,Asian,12,Most diverse group by ethnicity/race
Distrusting,Self-driven,15,26,61,Ed Attainment,No degree,39,
Distrusting,Self-driven,15,26,61,Ed Attainment,Degree,61,Most college educated
Distrusting,Self-driven,15,26,61,Age,18-24,32,
Distrusting,Self-driven,15,26,61,Age,25-34,68,